DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;DSI;FEX_C
107196;1;1;1;70;95;95;1;5,79877058691403
107198;1;1;1;70;86;86;1;4,49391043082142
107318;1;1;1;70;91;91;1;6,04517191851411
107337;1;1;1;70;86;86;1;8,83703970938289
107361;1;2;1;70;97;97;1;1,58966084554411
107380;1;1;1;70;86;86;1;9,10176231529496
107414;1;4;1;70;99;99;1;3,78873164356763
107469;1;1;1;70;97;97;1;1,58966084554411
107589;1;2;1;70;81;81;1;7,59043141597366
107589;1;3;1;70;81;81;1;7,59043141597366
107608;1;3;1;70;99;99;1;1,89549502356952
107634;1;1;1;70;94;94;1;1,75475501291879
107775;1;1;1;70;95;95;1;5,79877058691403
107816;1;1;1;70;95;95;1;5,79877058691403
107816;1;4;1;70;95;95;1;5,79877058691403
