DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;P6430S1;P6500;P6750;P6760;P6800;P6850;P6830;P6830S1;AREA;OCI;FEX_C;P6430;RAMA4D_R4;OFICIO;RAMA2D_R4
5581;1;2;1;60;85; ; ;600000;1;30;30; ; ;85;1;37,1474414309781;4;4711;41;47
5581;1;3;1;60;85; ; ; ; ;6;3;6; ;85;1;37,1474414309781;6;4711;45;47
5598;1;1;1;60;85; ; ;350000;1;30;2;6; ;85;1;27,5439725723638;4;9522;85;95
5640;1;3;1;60;99; ;98; ; ;70;56;7;CUARENTENA COVID19;99;1;1,89549502356952;2;8423;58;84
5640;2;1;2;60;99; ;98; ; ;84;84; ; ;99;1;1,89549502356952;2;8423;58;84
5670;1;1;1;60;91; ; ;99;1;72;72; ; ;91;1;5,84116948319464;5;4711;41;47
5890;1;1;1;60;81; ; ;300000;1;35;35; ; ;81;1;7,59043141597366;4;5611;53;56
5933;1;1;1;60;81; ; ;98;1;45;45; ; ;81;1;9,24226683507712;5;0141;61;01
5947;1;1;1;60;99; ;1400000; ; ;40;10;7;CUARENTENA COVID 19;99;1;4,07711737757744;2;8414;32;84
5949;1;1;1;60;86; ; ;800000;1;48;0;5; ;86;1;10,6061139138706;4;4781;45;47
6005;1;1;1;60;99; ; ;600000;1;40;0;7;CUARENTENA POR EL COVID 19;99;1;2,25659738151893;4;5021;98;50
6111;1;2;1;60;86; ;99; ; ;48;0;6; ;86;1;7,18709878736665;2;8413;55;84
6275;1;1;1;60;95; ;3000000; ; ;60;0;5; ;95;1;6,20333597669872;1;4111;21;41
6313;1;1;1;60;95; ; ;750000;1;33;0;5; ;95;1;53,9690229972789;4;4520;99;45
6313;1;2;1;60;95; ;500000; ; ;45;0;5; ;95;1;53,9690229972789;1;4771;45;47
6368;1;1;1;60;99; ; ;400000;1;35;0;7;CUARENTENA POR EL COVID 19;99;1;4,56428918050723;4;4729;41;47
6369;1;1;1;60;85; ;900000; ; ;48;24;7;POR CUARENTENA;85;1;31,392966100283;1;4210;97;42
6418;1;1;1;60;99; ; ;98;1;63;0;7;CUARENTENA POR EL COVID 19;99;1;3,37287757343604;4;5619;53;56
6461;1;2;1;60;85; ;1200000; ; ;48;48; ; ;85;1;33,9952968966204;1;4330;93;43
6461;1;3;1;60;85; ;900; ; ;45;0;1; ;85;1;33,9952968966204;1;4711;97;47
6501;1;1;1;60;85; ;825000; ; ;40;0;5; ;85;1;22,6746164117761;1;4921;98;49
6501;1;2;1;60;85; ; ;300000;1;28;0;6; ;85;1;22,6746164117761;4;4792;45;47
6522;1;1;1;60;85; ;360000; ; ;30;16;6; ;85;1;23,7580726426917;1;9602;55;96
6522;1;3;1;60;85; ;360000; ; ;66;0;5; ;85;1;23,7580726426917;1;4772;45;47
6533;1;1;1;60;85; ; ;100000;1;40;16;6; ;85;1;28,1347144228692;4;1394;75;13
6533;1;3;1;60;85; ; ;300000;1;16;0;5; ;85;1;28,1347144228692;4;5611;77;56
6560;1;2;1;60;99; ; ;400000;1;40;0;7;CUARENTENA POR EL COVID 19;99;1;1,89549502356952;4;8692;21;86
6650;1;1;1;60;99; ; ;360000;1;41;14;7;CUARENTENA COVID 19;99;1;2,66773373687562;4;5619;45;56
6708;1;1;1;60;97; ;1000000; ; ;40;0;6; ;97;1;4,46224113449612;1;4773;45;47
6752;1;2;1;60;85; ; ;900000;1;60;5;6; ;85;1;29,4560071176553;4;4761;41;47
6761;1;1;1;60;95; ; ;700000;1;63;0;7;CUARENTENA AL COVID-19;95;1;5,79877058691403;4;5611;53;56
6797;1;1;1;60;85; ;400000; ; ;25;0;5; ;85;1;20,9984921091682;3;9700;55;97
6813;1;1;1;60;85; ;1000000; ; ;48;24;6; ;85;1;14,862693647221;1;4541;33;45
6813;1;2;1;60;85; ;900000; ; ;48;0;6; ;85;1;14,862693647221;1;4631;98;46
6813;1;4;1;60;85; ;877803; ; ;48;48; ; ;85;1;14,862693647221;1;4731;45;47
6825;1;1;1;60;91; ;98; ; ;40;40; ; ;91;1;6,39608897298949;2;8422;95;84
6825;1;2;1;60;91; ; ;98;1;40;0;7;SUSPENSION TEMPORAL POR COVID-19;91;1;6,39608897298949;4;8610;07;86
6886;1;1;1;60;95; ;2000000; ; ;48;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;1;6423;19;64
6886;1;2;1;60;95; ; ;1000000;1;26;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;4;5619;53;56
6886;1;3;1;60;95; ;1200000; ; ;50;0;5; ;95;1;6,32593154936075;1;8530;13;85
6886;1;4;1;60;95; ; ;15000;1;1;1; ; ;95;1;6,32593154936075;4;8559;13;85
6933;1;4;1;60;85; ; ;120000;1;12;0;7;AISLAMIENTO OBLIGATORIO;85;1;27,3240128617363;4;1410;79;14
6933;1;5;1;60;85; ;87780; ; ;48;0;7;AISLAMIENTO OBLIGATORIO;85;1;27,3240128617363;1;4520;84;45
6981;1;2;1;60;85; ;600000; ; ;48;16;6; ;85;1;21,7378888294125;8;0141;62;01
7027;1;1;1;60;85; ;877803; ; ;45;0;5; ;85;1;26,4210862338982;1;4520;84;45
7027;1;2;1;60;85; ; ;100000;1;40;0;7;ACCIDENTE DE TRANSITO;85;1;26,4210862338982;4;9602;57;96
7104;1;1;1;60;85; ; ;1200000;1;40;40; ; ;85;1;30,2121865102909;4;4711;41;47
7104;1;2;1;60;85; ; ; ; ;24;24; ; ;85;1;30,2121865102909;6;4711;45;47
7178;1;1;1;60;99; ;877800; ; ;40;0;6; ;99;1;3,30321148063277;1;8530;55;85
7178;1;2;1;60;99; ;877800; ; ;40;20;6; ;99;1;3,30321148063277;1;3511;37;35
7249;1;1;1;60;86; ;898000; ; ;48;48; ; ;86;1;6,92928229549481;2;8522;32;85
7254;1;3;1;60;86; ; ;2500000;1;40;48; ; ;86;1;4,38241856314117;4;8610;59;86
7266;1;1;1;60;86; ;99; ; ;127;127; ; ;86;1;12,7518079235358;2;8422;58;84
7266;1;2;1;60;86; ;99; ; ;40;45; ; ;86;1;12,7518079235358;2;8422;07;84
7323;1;1;1;60;95; ; ;400000;1;45;0;5; ;95;1;6,20333597669872;5;4520;21;45
7323;1;4;1;60;95; ;350000; ; ;35;0;5; ;95;1;6,20333597669872;3;9700;54;97
7323;1;8;1;60;95; ;720000; ; ;45;0;1; ;95;1;6,20333597669872;1;4542;84;45
7392;1;1;1;60;99; ;1300000; ; ;50;0;7;CUARENTENA POR EL COVID 19;99;1;6,54771953283538;1;5611;53;56
7397;1;1;1;60;95; ; ;200000;1;40;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;4;8219;39;82
7397;1;2;1;60;95; ; ;200000;1;40;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;4;7420;16;74
7410;1;1;1;60;85; ; ;650000;1;50;30;7;POR CUARENTENA;85;1;30,8067572087494;4;4520;93;45
7420;1;1;1;60;94; ; ;1500000;1;52;0;6; ;94;1;3,07324594643101;4;5021;98;50
7420;1;2;1;60;94; ;1000000; ; ;40;0;6; ;94;1;3,07324594643101;1;4761;45;47
7422;1;1;1;60;85; ; ;500000;1;60;0;7;POR CUARENTENA;85;1;30,8067572087494;4;4789;45;47
7425;1;1;1;60;91; ; ;98;1;84;28;7;AISLAMIENTO PREVENTIVO POR COVID-19;91;1;12,5963556259914;4;4921;98;49
7425;1;2;1;60;91; ; ;98;1;48;0;7;AISLAMIENTO PREVENTIVO POR COVID-19;91;1;12,5963556259914;4;1410;79;14
7425;1;3;1;60;91; ; ;98;1;48;0;7;AISLAMIENTO PREVENTIVO POR COVID-19;91;1;12,5963556259914;4;1081;45;10
7427;1;1;1;60;99; ;950000; ; ;56;42;7;CUARENTENA POR EL COVID 19;99;1;4,95161571967106;1;4631;45;46
7432;1;1;1;60;95; ; ;1200000;1;48;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;5;4111;95;41
7432;1;2;1;60;95; ;400000; ; ;20;20; ; ;95;1;6,32593154936075;1;8413;55;84
7441;1;2;1;60;86; ;99; ; ;48;0;5; ;86;1;9,03528168899516;1;4542;84;45
7442;1;1;1;60;94; ; ;400000;1;30;20;5; ;94;1;1,89636799524936;4;5619;53;56
7442;1;2;1;60;94; ;98; ; ;40;40; ; ;94;1;1,89636799524936;2;8423;58;84
7443;1;1;1;60;91; ; ;98;1;40;0;7;CESO ACTIVIDADES DEBIDO AL COVID-19;91;1;7,36268847281448;4;8412;39;84
7473;1;2;1;60;86; ;98; ; ;50;50; ; ;86;1;7,26620748450743;2;8423;58;84
7535;1;1;1;60;86; ;98; ; ;40;6;7;ACATAR MEDIDAS DE PREVENCIO Y AISLAMIENTO POR COVID 19;86;1;9,10176231529496;2;8412;12;84
7551;1;1;1;60;81; ;900000; ; ;40;0;7;AISLAMIENTO OBLIGATORIO Y PREVENTIVO POR COVID-19;81;1;8,64201229591257;2;8412;55;84
7586;1;1;1;60;86; ;99; ; ;30;30; ; ;86;1;8,82456208483485;2;8530;13;85
7606;1;1;1;60;86; ;1200000; ; ;127;127; ; ;86;1;8,82456208483485;2;8422;58;84
7611;1;1;1;60;91; ; ;900000;1;40;0;7;Personales;91;1;9,31516694902499;4;0000;00;00
7679;1;1;1;60;86; ;2200000; ; ;24;24; ; ;86;1;8,4354646551093;2;8413;13;84
7679;1;2;1;60;86; ; ;98;1;60;0;7;ACATAR MEDIDAS DE PREVENCIO Y AISLAMIENTO POR COVID 19;86;1;8,4354646551093;4;4771;41;47
7682;1;1;1;60;81; ;99; ; ;40;40; ; ;81;1;30,3617256638947;2;8415;11;84
7733;1;1;1;60;85; ;1200000; ; ;48;48; ; ;85;1;29,3288745445673;1;8610;33;86
7733;1;2;1;60;85; ;1500000; ; ;40;40; ; ;85;1;29,3288745445673;1;4620;45;46
7769;1;3;1;60;86; ; ;98;1;48;0;5; ;86;1;10,1133043649845;4;8121;54;81
7771;1;1;1;60;95; ; ;4000000;1;48;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;5;4520;84;45
7771;1;2;1;60;95; ; ;500000;1;40;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;4;5619;77;56
7782;1;1;1;60;81; ;600000; ; ;48;35;6; ;81;1;14,7998790812184;1;4210;02;42
7794;1;1;1;60;95; ; ;750000;1;33;0;5; ;95;1;6,20333597669872;4;4520;99;45
7794;1;2;1;60;95; ;500000; ; ;45;0;5; ;95;1;6,20333597669872;1;4771;45;47
7794;1;6;1;60;95; ;400000; ; ;40;0;5; ;95;1;6,20333597669872;3;9700;54;97
7798;1;1;1;60;91; ; ;98;1;40;40; ; ;91;1;5,61046585870985;4;8544;13;85
7799;1;1;1;60;86; ;878227; ; ;60;0;6; ;86;1;8,2920579197838;1;4923;98;49
7827;1;2;1;60;95; ; ;350000;1;60;0;7;CUARENTENA POR COVID19;95;1;6,32593154936075;4;4719;41;47
7880;1;1;1;60;91; ; ;98;1;48;48; ; ;91;1;6,3002596505746;4;4663;42;46
7880;1;2;1;60;91; ;98; ; ;48;48; ; ;91;1;6,3002596505746;1;4711;11;47
7885;1;2;1;60;81;independiente; ;900000;1;45;0;7;COVID 19;81;1;9,98740975786009;9;8412;39;84
7946;1;1;1;60;95; ; ;300000;1;10;0;7;CUARENTENA;95;1;5,79877058691403;4;4921;98;49
7946;1;2;1;60;95; ; ;70000;1;24;0;7;CUARENTENA;95;1;5,79877058691403;5;4789;45;47
7957;2;1;2;60;94; ;800000; ; ;56;0;6; ;94;1;1,2868176143456;1;5511;50;55
7957;2;2;2;60;94; ; ;400000;1;40;0;6; ;94;1;1,2868176143456;4;8121;54;81
7995;1;1;1;60;99; ;1500000; ; ;40;0;7;CUARENTENA POR EL COVID 19;99;1;3,01210294481906;2;8422;58;84
