DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;INI;FEX_C
11322;1;5;1;80;81;81;1;18,5629819900168
11354;1;3;1;80;85;85;1;24,7419505610917
11354;2;1;2;80;85;85;1;24,7419505610917
11354;2;2;2;80;85;85;1;24,7419505610917
11386;1;1;1;80;81;81;1;11,6853757113359
11423;1;2;1;80;81;81;1;7,59043141597366
11423;1;3;1;80;81;81;1;7,59043141597366
11430;1;1;1;80;81;81;1;30,3617256638947
11430;1;3;1;80;81;81;1;30,3617256638947
11430;1;4;1;80;81;81;1;30,3617256638947
11439;1;1;1;80;81;81;1;9,21695243368231
11470;1;1;1;80;81;81;1;7,59043141597366
11470;1;2;1;80;81;81;1;7,59043141597366
11470;1;3;1;80;81;81;1;7,59043141597366
11470;1;4;1;80;81;81;1;7,59043141597366
11485;1;1;1;80;81;81;1;12,1094976202887
11485;1;3;1;80;81;81;1;12,1094976202887
11485;1;4;1;80;81;81;1;12,1094976202887
11523;1;1;1;80;81;81;1;7,59043141597366
11523;1;4;1;80;81;81;1;7,59043141597366
11523;1;5;1;80;81;81;1;7,59043141597366
11538;2;1;2;80;81;81;1;14,0631594177501
11538;2;3;2;80;81;81;1;14,0631594177501
11538;2;5;2;80;81;81;1;14,0631594177501
11553;1;1;1;80;85;85;1;28,2582765732758
11553;1;3;1;80;85;85;1;28,2582765732758
11553;1;4;1;80;85;85;1;28,2582765732758
11553;2;1;2;80;85;85;1;28,2582765732758
11553;2;2;2;80;85;85;1;28,2582765732758
11564;1;1;1;80;85;85;1;29,9425592085178
11564;1;4;1;80;85;85;1;29,9425592085178
11580;1;2;1;80;85;85;1;23,6590694120249
11594;1;1;1;80;85;85;1;22,5874978048258
11648;1;3;1;80;95;95;1;57,9232750848412
11664;1;1;1;80;85;85;1;19,6861380150307
11664;1;2;1;80;85;85;1;19,6861380150307
11664;1;4;1;80;85;85;1;19,6861380150307
11664;1;5;1;80;85;85;1;19,6861380150307
11664;1;7;1;80;85;85;1;19,6861380150307
11677;1;2;1;80;81;81;1;7,59043141597366
11686;1;2;1;80;95;95;1;6,65784771090129
11686;1;3;1;80;95;95;1;6,65784771090129
