DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4903996;17;1;0;0;70;3
4903996;17;0;0;1;23;6
4903996;17;0;0;0;22;5
4903996;17;1;0;;1;
4903997;17;1;1;0;32;6
4903997;17;0;0;0;24;6
4903998;17;1;0;;1;
4903998;17;0;1;0;33;5
4903998;17;1;0;0;32;3
4903999;17;1;0;0;64;3
4903999;17;0;0;0;41;6
4903999;17;0;0;0;91;1
4904000;17;1;1;0;32;5
4904000;17;0;0;0;35;5
4904001;17;0;0;1;12;4
4904002;17;1;0;0;3;1
4904003;17;1;1;;2;
4904003;17;1;1;0;32;5
4904003;17;0;0;0;36;5
4904003;17;0;0;1;7;3
4904004;17;0;0;;2;
4904004;17;0;1;0;47;6
4904005;17;0;0;0;37;6
4904005;17;0;0;1;14;4
4904006;17;1;1;1;41;6
4904007;17;1;0;0;40;6
4904007;17;0;1;1;15;5
4904008;17;1;1;0;44;4
4904008;17;0;0;0;51;3
4904008;17;0;1;1;15;4
4904008;17;1;1;1;20;4
4904009;17;1;0;1;20;4
4904009;17;0;1;;1;
4904010;17;1;1;0;82;1
4904010;17;0;0;0;76;1
4904010;17;1;0;0;58;5
4904011;17;0;0;0;77;3
4904012;17;0;1;0;27;5
4904012;17;0;0;0;19;5
4904013;17;1;0;0;22;6
4904013;17;0;1;0;20;5
4904014;17;1;1;0;51;6
4904014;17;0;0;0;44;5
4904015;17;1;0;1;6;3
4904015;17;1;0;1;3;2
4904015;17;1;1;0;46;3
4904015;17;0;0;0;52;4
4904016;17;1;1;1;31;6
4904016;17;0;0;0;32;6
4904017;17;1;1;0;64;3
4904017;17;0;0;0;68;3
4904017;17;1;0;0;42;6
4904018;17;1;1;1;17;6
4904019;17;1;0;1;8;3
4904020;17;1;0;0;47;6
4904020;17;1;1;1;21;6
4904020;17;1;0;0;48;3
4904020;17;0;1;0;51;3
4904021;17;1;1;0;22;4
4904022;17;1;0;0;24;5
4904022;17;1;1;1;4;2
4904023;17;0;1;0;54;5
4904023;17;1;0;0;52;3
4904024;17;1;0;0;28;6
4904024;17;1;1;1;23;6
4904024;17;0;0;0;26;5
4904024;17;0;0;1;9;3
4904025;17;1;0;1;3;2
